aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
23,104.1,2022-02-28:13,7.1,23.9,11.8,5.57,1.5,2022-03-01T00:00:00,2022-02-28T13:00:00,1646053200
16,148.9,2022-02-28:12,8.6,12.3,9.2,3.86,0.3,2022-02-28T23:00:00,2022-02-28T12:00:00,1646049600
16,148.9,2022-02-28:11,8.8,12.6,9.7,3.87,0.4,2022-02-28T22:00:00,2022-02-28T11:00:00,1646046000
15,137.4,2022-02-28:10,8.5,13.7,9.8,3.68,0.2,2022-02-28T21:00:00,2022-02-28T10:00:00,1646042400
16,137.4,2022-02-28:09,8.1,17.1,13.6,3.89,0.2,2022-02-28T20:00:00,2022-02-28T09:00:00,1646038800
13,137.4,2022-02-28:08,8,20.2,10.3,3.19,0.2,2022-02-28T19:00:00,2022-02-28T08:00:00,1646035200
15,126,2022-02-28:07,4.6,28.8,11.3,3.66,0.2,2022-02-28T18:00:00,2022-02-28T07:00:00,1646031600
20,126,2022-02-28:06,4,31.2,12.3,4.91,0.1,2022-02-28T17:00:00,2022-02-28T06:00:00,1646028000
17,137.4,2022-02-28:05,3.6,36.8,14.4,3.67,0.3,2022-02-28T16:00:00,2022-02-28T05:00:00,1646024400
19,171.8,2022-02-28:04,3.2,40.9,12,4.23,0.3,2022-02-28T15:00:00,2022-02-28T04:00:00,1646020800
30,206.1,2022-02-28:03,3.7,40.3,10,7.1,0.2,2022-02-28T14:00:00,2022-02-28T03:00:00,1646017200
21,217.6,2022-02-28:02,5.1,36.2,8.6,5.09,0.3,2022-02-28T13:00:00,2022-02-28T02:00:00,1646013600
16,217.6,2022-02-28:01,4.7,33.6,8.8,3.52,0.4,2022-02-28T12:00:00,2022-02-28T01:00:00,1646010000
22,229,2022-02-28:00,5.4,29.3,10.1,5.36,0.9,2022-02-28T11:00:00,2022-02-28T00:00:00,1646006400
17,217.6,2022-02-27:23,6.9,23.5,11.3,3.99,1.6,2022-02-28T10:00:00,2022-02-27T23:00:00,1646002800
19,217.6,2022-02-27:22,9,14.9,10,4.62,1.3,2022-02-28T09:00:00,2022-02-27T22:00:00,1645999200
18,217.6,2022-02-27:21,10.3,8.9,19.5,2.67,0.6,2022-02-28T08:00:00,2022-02-27T21:00:00,1645995600
15,171.8,2022-02-27:20,9.1,5.8,16.6,3.24,0.5,2022-02-28T07:00:00,2022-02-27T20:00:00,1645992000
17,160.3,2022-02-27:19,8.3,4.1,9,4.21,0.5,2022-02-28T06:00:00,2022-02-27T19:00:00,1645988400
12,148.9,2022-02-27:18,7.6,4.5,6.5,2.83,0.4,2022-02-28T05:00:00,2022-02-27T18:00:00,1645984800
10,148.9,2022-02-27:17,6,6.8,6.8,2.45,0.1,2022-02-28T04:00:00,2022-02-27T17:00:00,1645981200
9,148.9,2022-02-27:16,4.9,12.2,5.6,2.16,0.1,2022-02-28T03:00:00,2022-02-27T16:00:00,1645977600
7,148.9,2022-02-27:15,4,10.6,7,1.79,7,2022-02-28T02:00:00,2022-02-27T15:00:00,1645974000
11,148.9,2022-02-27:14,4.9,10.3,8.6,2.54,0,2022-02-28T01:00:00,2022-02-27T14:00:00,1645970400
22,61.3,2022-02-27:13,6,28.2,10.3,5.26,8.3,2022-02-28T00:00:00,2022-02-27T13:00:00,1645966800
29,17.5,2022-02-27:12,7,37,12,7,9,2022-02-27T23:00:00,2022-02-27T12:00:00,1645963200
16,137.4,2022-02-27:11,4.5,16,8.8,3.79,0,2022-02-27T22:00:00,2022-02-27T11:00:00,1645959600
18,137.4,2022-02-27:10,3.8,20.8,7.8,4.32,0.1,2022-02-27T21:00:00,2022-02-27T10:00:00,1645956000
15,137.4,2022-02-27:09,3.7,24.8,11.1,3.65,0,2022-02-27T20:00:00,2022-02-27T09:00:00,1645952400
13,126,2022-02-27:08,2.7,29,9.9,3.18,0.1,2022-02-27T19:00:00,2022-02-27T08:00:00,1645948800
15,148.9,2022-02-27:07,1.7,31.7,9.9,2.85,0.2,2022-02-27T18:00:00,2022-02-27T07:00:00,1645945200
17,148.9,2022-02-27:06,1.1,35.2,9.9,4.16,0.3,2022-02-27T17:00:00,2022-02-27T06:00:00,1645941600
18,160.3,2022-02-27:05,1.4,38,8.4,4,0.2,2022-02-27T16:00:00,2022-02-27T05:00:00,1645938000
18,171.8,2022-02-27:04,1.6,39.7,9.9,2.87,0.2,2022-02-27T15:00:00,2022-02-27T04:00:00,1645934400
22,183.2,2022-02-27:03,1.8,41,11.1,5.27,0.9,2022-02-27T14:00:00,2022-02-27T03:00:00,1645930800
21,171.8,2022-02-27:02,1.2,42.8,8.8,5,0.1,2022-02-27T13:00:00,2022-02-27T02:00:00,1645927200
18,171.8,2022-02-27:01,1.3,39.8,7.5,2.65,0.1,2022-02-27T12:00:00,2022-02-27T01:00:00,1645923600
17,171.8,2022-02-27:00,1.8,35.9,8.4,2.93,0.8,2022-02-27T11:00:00,2022-02-27T00:00:00,1645920000
14,166.5,2022-02-26:23,2.1,30.9,8.9,3.43,0.3,2022-02-27T10:00:00,2022-02-26T23:00:00,1645916400
14,177,2022-02-26:22,2.7,24.1,8.8,3.26,0.4,2022-02-27T09:00:00,2022-02-26T22:00:00,1645912800
14,171.8,2022-02-26:21,3.3,16.9,9.7,3.4,0.7,2022-02-27T08:00:00,2022-02-26T21:00:00,1645909200
15,160.3,2022-02-26:20,4.9,10.7,14.1,3.68,0.4,2022-02-27T07:00:00,2022-02-26T20:00:00,1645905600
17,152.7,2022-02-26:19,4.9,10.7,10.5,4.05,0.3,2022-02-27T06:00:00,2022-02-26T19:00:00,1645902000
14,148.9,2022-02-26:18,4.6,12.9,8,3.27,0.2,2022-02-27T05:00:00,2022-02-26T18:00:00,1645898400
11,148.9,2022-02-26:17,5.1,13.4,7.7,2.59,2.8,2022-02-27T04:00:00,2022-02-26T17:00:00,1645894800
8,148.9,2022-02-26:16,5.5,14,7.4,1.91,5.4,2022-02-27T03:00:00,2022-02-26T16:00:00,1645891200
7,148.9,2022-02-26:15,6,14.6,7.1,1.23,8,2022-02-27T02:00:00,2022-02-26T15:00:00,1645887600
7,114.5,2022-02-26:14,5.4,14.1,6.9,1.14,0.2,2022-02-27T01:00:00,2022-02-26T14:00:00,1645884000
32,61.7,2022-02-26:13,4.7,32.9,15,7.74,6.7,2022-02-27T00:00:00,2022-02-26T13:00:00,1645880400
46,18.1,2022-02-26:12,4,42,19,11,6,2022-02-26T23:00:00,2022-02-26T12:00:00,1645876800
12,148.9,2022-02-26:11,5.5,17.8,6.8,2.94,0.1,2022-02-26T22:00:00,2022-02-26T11:00:00,1645873200
16,178.1,2022-02-26:10,3.3,20.3,7.5,3.89,0,2022-02-26T21:00:00,2022-02-26T10:00:00,1645869600
16,152.7,2022-02-26:09,5.5,13.3,11.1,3.96,0,2022-02-26T20:00:00,2022-02-26T09:00:00,1645866000
16,152.7,2022-02-26:08,5.6,15.8,11,3.93,0,2022-02-26T19:00:00,2022-02-26T08:00:00,1645862400
10,152.7,2022-02-26:07,4,21.2,9.3,2.52,0,2022-02-26T18:00:00,2022-02-26T07:00:00,1645858800
12,152.7,2022-02-26:06,2.5,25.4,5.5,1.96,0,2022-02-26T17:00:00,2022-02-26T06:00:00,1645855200
13,152.7,2022-02-26:05,2.1,27.8,5.2,2.67,0.1,2022-02-26T16:00:00,2022-02-26T05:00:00,1645851600
13,137.4,2022-02-26:04,2.4,28.6,4.6,2.65,0.2,2022-02-26T15:00:00,2022-02-26T04:00:00,1645848000
13,165.4,2022-02-26:03,3.1,27,6,3.01,0.1,2022-02-26T14:00:00,2022-02-26T03:00:00,1645844400
13,152.7,2022-02-26:02,2.6,26.4,4.2,3.12,0,2022-02-26T13:00:00,2022-02-26T02:00:00,1645840800
14,152.7,2022-02-26:01,3.1,25.6,6.9,3.43,0,2022-02-26T12:00:00,2022-02-26T01:00:00,1645837200
11,152.7,2022-02-26:00,3.9,24.2,6.9,2.33,0.4,2022-02-26T11:00:00,2022-02-26T00:00:00,1645833600
10,152.7,2022-02-25:23,4.4,21.3,5.9,2.18,0.4,2022-02-26T10:00:00,2022-02-25T23:00:00,1645830000
8,152.7,2022-02-25:22,5.5,17.4,8,1.81,0,2022-02-26T09:00:00,2022-02-25T22:00:00,1645826400
13,152.7,2022-02-25:21,5.3,16.7,9.5,3.14,0,2022-02-26T08:00:00,2022-02-25T21:00:00,1645822800
13,139.9,2022-02-25:20,5.2,17.2,8.6,3.01,0.1,2022-02-26T07:00:00,2022-02-25T20:00:00,1645819200
17,152.7,2022-02-25:19,5.1,15.7,9.7,4.19,0.1,2022-02-26T06:00:00,2022-02-25T19:00:00,1645815600
29,16.3,2022-02-25:18,3,41,12,7,3,2022-02-26T05:00:00,2022-02-25T18:00:00,1645812000
9,178.1,2022-02-25:17,4,14.9,9.7,1.62,0,2022-02-26T04:00:00,2022-02-25T17:00:00,1645808400
15,183.2,2022-02-25:16,3.8,16.1,9.2,3.64,0.1,2022-02-26T03:00:00,2022-02-25T16:00:00,1645804800
13,183.2,2022-02-25:15,3,17.6,9.3,3.16,4,2022-02-26T02:00:00,2022-02-25T15:00:00,1645801200
13,194.7,2022-02-25:14,3.4,17.1,8.6,3.21,0.1,2022-02-26T01:00:00,2022-02-25T14:00:00,1645797600
16,221.4,2022-02-25:13,4.2,16.9,9.5,3.74,1.5,2022-02-26T00:00:00,2022-02-25T13:00:00,1645794000
17,240.5,2022-02-25:12,4.9,16.6,9.5,4.03,0.2,2022-02-25T23:00:00,2022-02-25T12:00:00,1645790400
23,218.6,2022-02-25:11,6.1,12.7,9.8,5.43,0.6,2022-02-25T22:00:00,2022-02-25T11:00:00,1645786800
22,218.6,2022-02-25:10,7.2,11.6,13.3,5.19,0.8,2022-02-25T21:00:00,2022-02-25T10:00:00,1645783200
24,197.8,2022-02-25:09,8.5,11,14.5,5.89,0.3,2022-02-25T20:00:00,2022-02-25T09:00:00,1645779600
26,187.4,2022-02-25:08,9.7,11.6,14,6.3,0.2,2022-02-25T19:00:00,2022-02-25T08:00:00,1645776000
22,166.5,2022-02-25:07,9.5,13.7,11.4,5.34,0.1,2022-02-25T18:00:00,2022-02-25T07:00:00,1645772400
19,160.3,2022-02-25:06,8.8,16.4,12.2,4.57,0.1,2022-02-25T17:00:00,2022-02-25T06:00:00,1645768800
11,171.8,2022-02-25:05,8.3,19,7,2.67,0.2,2022-02-25T16:00:00,2022-02-25T05:00:00,1645765200
15,194.7,2022-02-25:04,7.4,19.2,6.7,3.59,0.2,2022-02-25T15:00:00,2022-02-25T04:00:00,1645761600
15,194.7,2022-02-25:03,6.2,19.1,7.5,3.68,0.2,2022-02-25T14:00:00,2022-02-25T03:00:00,1645758000
8,194.7,2022-02-25:02,6.3,18.2,7.9,1.9,0.2,2022-02-25T13:00:00,2022-02-25T02:00:00,1645754400
30,76.9,2022-02-25:01,4.1,32.4,13.2,7.23,3.4,2022-02-25T12:00:00,2022-02-25T01:00:00,1645750800
37,18.1,2022-02-25:00,3,39,16,9,5,2022-02-25T11:00:00,2022-02-25T00:00:00,1645747200
37,18.1,2022-02-24:23,3.3,37.7,16.3,9,5.7,2022-02-25T10:00:00,2022-02-24T23:00:00,1645743600
37,18.1,2022-02-24:22,3.7,36.3,16.7,9,6.3,2022-02-25T09:00:00,2022-02-24T22:00:00,1645740000
37,18.1,2022-02-24:21,4,35,17,9,7,2022-02-25T08:00:00,2022-02-24T21:00:00,1645736400
39,18.1,2022-02-24:20,4,35,17.3,9.33,6.7,2022-02-25T07:00:00,2022-02-24T20:00:00,1645732800
40,18.1,2022-02-24:19,4,35,17.7,9.67,6.3,2022-02-25T06:00:00,2022-02-24T19:00:00,1645729200
42,18.1,2022-02-24:18,4,35,18,10,6,2022-02-25T05:00:00,2022-02-24T18:00:00,1645725600
40,17.9,2022-02-24:17,4.3,34,17.7,9.67,6,2022-02-25T04:00:00,2022-02-24T17:00:00,1645722000
39,17.7,2022-02-24:16,4.7,33,17.3,9.33,6,2022-02-25T03:00:00,2022-02-24T16:00:00,1645718400
37,17.5,2022-02-24:15,5,32,17,9,6,2022-02-25T02:00:00,2022-02-24T15:00:00,1645714800
36,17.1,2022-02-24:14,5,31.3,16,8.67,6,2022-02-25T01:00:00,2022-02-24T14:00:00,1645711200
35,16.7,2022-02-24:13,5,30.7,15,8.33,6,2022-02-25T00:00:00,2022-02-24T13:00:00,1645707600
33,16.3,2022-02-24:12,5,30,14,8,6,2022-02-24T23:00:00,2022-02-24T12:00:00,1645704000
33,16.3,2022-02-24:11,5.3,29.7,14,8,6.3,2022-02-24T22:00:00,2022-02-24T11:00:00,1645700400
33,16.3,2022-02-24:10,5.7,29.3,14,8,6.7,2022-02-24T21:00:00,2022-02-24T10:00:00,1645696800
33,16.3,2022-02-24:09,6,29,14,8,7,2022-02-24T20:00:00,2022-02-24T09:00:00,1645693200
35,16.3,2022-02-24:08,5.3,31,14.7,8.33,6.7,2022-02-24T19:00:00,2022-02-24T08:00:00,1645689600
36,16.3,2022-02-24:07,4.7,33,15.3,8.67,6.3,2022-02-24T18:00:00,2022-02-24T07:00:00,1645686000
37,16.3,2022-02-24:06,4,35,16,9,6,2022-02-24T17:00:00,2022-02-24T06:00:00,1645682400
37,16.5,2022-02-24:05,4,36,16,9,6,2022-02-24T16:00:00,2022-02-24T05:00:00,1645678800
37,16.7,2022-02-24:04,4,37,16,9,6,2022-02-24T15:00:00,2022-02-24T04:00:00,1645675200
37,16.9,2022-02-24:03,4,38,16,9,6,2022-02-24T14:00:00,2022-02-24T03:00:00,1645671600
39,16.9,2022-02-24:02,4,36.7,16.3,9.33,6.3,2022-02-24T13:00:00,2022-02-24T02:00:00,1645668000
40,16.9,2022-02-24:01,4,35.3,16.7,9.67,6.7,2022-02-24T12:00:00,2022-02-24T01:00:00,1645664400
42,16.9,2022-02-24:00,4,34,17,10,7,2022-02-24T11:00:00,2022-02-24T00:00:00,1645660800
36,16.9,2022-02-23:23,4.7,32,14.7,8.67,7.3,2022-02-24T10:00:00,2022-02-23T23:00:00,1645657200
31,16.9,2022-02-23:22,5.3,30,12.3,7.33,7.7,2022-02-24T09:00:00,2022-02-23T22:00:00,1645653600
25,16.9,2022-02-23:21,6,28,10,6,8,2022-02-24T08:00:00,2022-02-23T21:00:00,1645650000
24,16.7,2022-02-23:20,6.3,28.3,9.7,5.67,8,2022-02-24T07:00:00,2022-02-23T20:00:00,1645646400
22,16.5,2022-02-23:19,6.7,28.7,9.3,5.33,8,2022-02-24T06:00:00,2022-02-23T19:00:00,1645642800
21,16.3,2022-02-23:18,7,29,9,5,8,2022-02-24T05:00:00,2022-02-23T18:00:00,1645639200
22,16.1,2022-02-23:17,7,28.7,9.3,5.33,8.3,2022-02-24T04:00:00,2022-02-23T17:00:00,1645635600
24,16,2022-02-23:16,7,28.3,9.7,5.67,8.7,2022-02-24T03:00:00,2022-02-23T16:00:00,1645632000
25,15.8,2022-02-23:15,7,28,10,6,9,2022-02-24T02:00:00,2022-02-23T15:00:00,1645628400
25,16,2022-02-23:14,7,27.3,10.3,6,9,2022-02-24T01:00:00,2022-02-23T14:00:00,1645624800
25,16.1,2022-02-23:13,7,26.7,10.7,6,9,2022-02-24T00:00:00,2022-02-23T13:00:00,1645621200
25,16.3,2022-02-23:12,7,26,11,6,9,2022-02-23T23:00:00,2022-02-23T12:00:00,1645617600
26,16.5,2022-02-23:11,6.3,28.3,11.7,6.33,8.3,2022-02-23T22:00:00,2022-02-23T11:00:00,1645614000
28,16.7,2022-02-23:10,5.7,30.7,12.3,6.67,7.7,2022-02-23T21:00:00,2022-02-23T10:00:00,1645610400
29,16.9,2022-02-23:09,5,33,13,7,7,2022-02-23T20:00:00,2022-02-23T09:00:00,1645606800
31,16.9,2022-02-23:08,4,36.7,13.3,7.33,6.7,2022-02-23T19:00:00,2022-02-23T08:00:00,1645603200
32,16.9,2022-02-23:07,3,40.3,13.7,7.67,6.3,2022-02-23T18:00:00,2022-02-23T07:00:00,1645599600
33,16.9,2022-02-23:06,2,44,14,8,6,2022-02-23T17:00:00,2022-02-23T06:00:00,1645596000
35,16.9,2022-02-23:05,2,44.7,14.3,8.33,6,2022-02-23T16:00:00,2022-02-23T05:00:00,1645592400
36,16.9,2022-02-23:04,2,45.3,14.7,8.67,6,2022-02-23T15:00:00,2022-02-23T04:00:00,1645588800
37,16.9,2022-02-23:03,2,46,15,9,6,2022-02-23T14:00:00,2022-02-23T03:00:00,1645585200
37,16.7,2022-02-23:02,2,43.3,15.3,9,5.7,2022-02-23T13:00:00,2022-02-23T02:00:00,1645581600
37,16.5,2022-02-23:01,2,40.7,15.7,9,5.3,2022-02-23T12:00:00,2022-02-23T01:00:00,1645578000
37,16.3,2022-02-23:00,2,38,16,9,5,2022-02-23T11:00:00,2022-02-23T00:00:00,1645574400
32,16.7,2022-02-22:23,3,35.7,13.7,7.67,5.7,2022-02-23T10:00:00,2022-02-22T23:00:00,1645570800
26,17.1,2022-02-22:22,4,33.3,11.3,6.33,6.3,2022-02-23T09:00:00,2022-02-22T22:00:00,1645567200
21,17.5,2022-02-22:21,5,31,9,5,7,2022-02-23T08:00:00,2022-02-22T21:00:00,1645563600
19,17.5,2022-02-22:20,5,32,8.3,4.67,6.7,2022-02-23T07:00:00,2022-02-22T20:00:00,1645560000
18,17.5,2022-02-22:19,5,33,7.7,4.33,6.3,2022-02-23T06:00:00,2022-02-22T19:00:00,1645556400
17,17.5,2022-02-22:18,5,34,7,4,6,2022-02-23T05:00:00,2022-02-22T18:00:00,1645552800
16,17.7,2022-02-22:17,5,34.7,6.7,3.67,5.7,2022-02-23T04:00:00,2022-02-22T17:00:00,1645549200
16,17.9,2022-02-22:16,5,35.3,6.3,3.33,5.3,2022-02-23T03:00:00,2022-02-22T16:00:00,1645545600
17,18.1,2022-02-22:15,5,36,6,3,5,2022-02-23T02:00:00,2022-02-22T15:00:00,1645542000
16,18.1,2022-02-22:14,5.3,35.3,6,3,5.3,2022-02-23T01:00:00,2022-02-22T14:00:00,1645538400
16,18.1,2022-02-22:13,5.7,34.7,6,3,5.7,2022-02-23T00:00:00,2022-02-22T13:00:00,1645534800
16,18.1,2022-02-22:12,6,34,6,3,6,2022-02-22T23:00:00,2022-02-22T12:00:00,1645531200
15,17.9,2022-02-22:11,6,33,6.7,3.67,6.3,2022-02-22T22:00:00,2022-02-22T11:00:00,1645527600
18,17.7,2022-02-22:10,6,32,7.3,4.33,6.7,2022-02-22T21:00:00,2022-02-22T10:00:00,1645524000
21,17.5,2022-02-22:09,6,31,8,5,7,2022-02-22T20:00:00,2022-02-22T09:00:00,1645520400
21,17.5,2022-02-22:08,5.3,33,8.3,5,6.7,2022-02-22T19:00:00,2022-02-22T08:00:00,1645516800
21,17.5,2022-02-22:07,4.7,35,8.7,5,6.3,2022-02-22T18:00:00,2022-02-22T07:00:00,1645513200
21,17.5,2022-02-22:06,4,37,9,5,6,2022-02-22T17:00:00,2022-02-22T06:00:00,1645509600
24,17.9,2022-02-22:05,3.7,38.3,10,5.67,5.7,2022-02-22T16:00:00,2022-02-22T05:00:00,1645506000
26,18.3,2022-02-22:04,3.3,39.7,11,6.33,5.3,2022-02-22T15:00:00,2022-02-22T04:00:00,1645502400
29,18.7,2022-02-22:03,3,41,12,7,5,2022-02-22T14:00:00,2022-02-22T03:00:00,1645498800
29,19.5,2022-02-22:02,3,41.7,11.7,7,4.7,2022-02-22T13:00:00,2022-02-22T02:00:00,1645495200
29,20.2,2022-02-22:01,3,42.3,11.3,7,4.3,2022-02-22T12:00:00,2022-02-22T01:00:00,1645491600
29,21,2022-02-22:00,3,43,11,7,4,2022-02-22T11:00:00,2022-02-22T00:00:00,1645488000
26,21.4,2022-02-21:23,3.3,41.7,10.3,6.33,4.7,2022-02-22T10:00:00,2022-02-21T23:00:00,1645484400
24,21.8,2022-02-21:22,3.7,40.3,9.7,5.67,5.3,2022-02-22T09:00:00,2022-02-21T22:00:00,1645480800
21,22.2,2022-02-21:21,4,39,9,5,6,2022-02-22T08:00:00,2022-02-21T21:00:00,1645477200
24,22.8,2022-02-21:20,4.7,39.3,9.7,5.67,6.7,2022-02-22T07:00:00,2022-02-21T20:00:00,1645473600
26,23.3,2022-02-21:19,5.3,39.7,10.3,6.33,7.3,2022-02-22T06:00:00,2022-02-21T19:00:00,1645470000
29,23.9,2022-02-21:18,6,40,11,7,8,2022-02-22T05:00:00,2022-02-21T18:00:00,1645466400
28,24.7,2022-02-21:17,6.3,41,10.7,6.67,9,2022-02-22T04:00:00,2022-02-21T17:00:00,1645462800
26,25.5,2022-02-21:16,6.7,42,10.3,6.33,10,2022-02-22T03:00:00,2022-02-21T16:00:00,1645459200
25,26.3,2022-02-21:15,7,43,10,6,11,2022-02-22T02:00:00,2022-02-21T15:00:00,1645455600
26,25.9,2022-02-21:14,6,45.7,10.3,6.33,9.7,2022-02-22T01:00:00,2022-02-21T14:00:00,1645452000
28,25.5,2022-02-21:13,5,48.3,10.7,6.67,8.3,2022-02-22T00:00:00,2022-02-21T13:00:00,1645448400
29,25.1,2022-02-21:12,4,51,11,7,7,2022-02-21T23:00:00,2022-02-21T12:00:00,1645444800
31,28.2,2022-02-21:11,6.3,66,10.3,6.67,9.7,2022-02-21T22:00:00,2022-02-21T11:00:00,1645441200
37,31.3,2022-02-21:10,8.7,81,9.7,6.33,12.3,2022-02-21T21:00:00,2022-02-21T10:00:00,1645437600
44,34.4,2022-02-21:09,11,96,9,6,15,2022-02-21T20:00:00,2022-02-21T09:00:00,1645434000
52,35.8,2022-02-21:08,9.7,112,10,6.67,14.3,2022-02-21T19:00:00,2022-02-21T08:00:00,1645430400
60,37.2,2022-02-21:07,8.3,128,11,7.33,13.7,2022-02-21T18:00:00,2022-02-21T07:00:00,1645426800
80,38.5,2022-02-21:06,7,144,12,8,13,2022-02-21T17:00:00,2022-02-21T06:00:00,1645423200
91,39.5,2022-02-21:05,6.7,153,12.7,8.67,13.3,2022-02-21T16:00:00,2022-02-21T05:00:00,1645419600
101,40.5,2022-02-21:04,6.3,162,13.3,9.33,13.7,2022-02-21T15:00:00,2022-02-21T04:00:00,1645416000
103,41.4,2022-02-21:03,6,171,14,10,14,2022-02-21T14:00:00,2022-02-21T03:00:00,1645412400
84,39.7,2022-02-21:02,9.7,147,14.7,10.33,14.7,2022-02-21T13:00:00,2022-02-21T02:00:00,1645408800
54,37.9,2022-02-21:01,13.3,123,15.3,10.67,15.3,2022-02-21T12:00:00,2022-02-21T01:00:00,1645405200
46,36.2,2022-02-21:00,17,99,16,11,16,2022-02-21T11:00:00,2022-02-21T00:00:00,1645401600
37,34.8,2022-02-20:23,15.3,74.3,13.3,9,17.7,2022-02-21T10:00:00,2022-02-20T23:00:00,1645398000
29,33.5,2022-02-20:22,13.7,49.7,10.7,7,19.3,2022-02-21T09:00:00,2022-02-20T22:00:00,1645394400
21,32.1,2022-02-20:21,12,25,8,5,21,2022-02-21T08:00:00,2022-02-20T21:00:00,1645390800
21,31.5,2022-02-20:20,12.7,24.3,7.7,5,23,2022-02-21T07:00:00,2022-02-20T20:00:00,1645387200
21,30.9,2022-02-20:19,13.3,23.7,7.3,5,25,2022-02-21T06:00:00,2022-02-20T19:00:00,1645383600
21,30.3,2022-02-20:18,14,23,7,5,27,2022-02-21T05:00:00,2022-02-20T18:00:00,1645380000
21,28.6,2022-02-20:17,12.7,25.7,7,5,27,2022-02-21T04:00:00,2022-02-20T17:00:00,1645376400
21,26.8,2022-02-20:16,11.3,28.3,7,5,27,2022-02-21T03:00:00,2022-02-20T16:00:00,1645372800
21,25.1,2022-02-20:15,10,31,7,5,27,2022-02-21T02:00:00,2022-02-20T15:00:00,1645369200
21,23.9,2022-02-20:14,9,33,7.3,5,23.7,2022-02-21T01:00:00,2022-02-20T14:00:00,1645365600
21,22.8,2022-02-20:13,8,35,7.7,5,20.3,2022-02-21T00:00:00,2022-02-20T13:00:00,1645362000
21,21.6,2022-02-20:12,7,37,8,5,17,2022-02-20T23:00:00,2022-02-20T12:00:00,1645358400
21,22.6,2022-02-20:11,7,44.7,8,5,16,2022-02-20T22:00:00,2022-02-20T11:00:00,1645354800
24,23.5,2022-02-20:10,7,52.3,8,5,15,2022-02-20T21:00:00,2022-02-20T10:00:00,1645351200
28,24.5,2022-02-20:09,7,60,8,5,14,2022-02-20T20:00:00,2022-02-20T09:00:00,1645347600
32,25.1,2022-02-20:08,6.3,70,8.3,5.33,13,2022-02-20T19:00:00,2022-02-20T08:00:00,1645344000
37,25.7,2022-02-20:07,5.7,80,8.7,5.67,12,2022-02-20T18:00:00,2022-02-20T07:00:00,1645340400
42,26.3,2022-02-20:06,5,90,9,6,11,2022-02-20T17:00:00,2022-02-20T06:00:00,1645336800
42,25.5,2022-02-20:05,4.3,91,9.3,6,10,2022-02-20T16:00:00,2022-02-20T05:00:00,1645333200
43,24.7,2022-02-20:04,3.7,92,9.7,6,9,2022-02-20T15:00:00,2022-02-20T04:00:00,1645329600
43,23.9,2022-02-20:03,3,93,10,6,8,2022-02-20T14:00:00,2022-02-20T03:00:00,1645326000
38,22.8,2022-02-20:02,3.3,82,10.7,6.33,8,2022-02-20T13:00:00,2022-02-20T02:00:00,1645322400
33,21.6,2022-02-20:01,3.7,71,11.3,6.67,8,2022-02-20T12:00:00,2022-02-20T01:00:00,1645318800
29,20.4,2022-02-20:00,4,60,12,7,8,2022-02-20T11:00:00,2022-02-20T00:00:00,1645315200
29,20,2022-02-19:23,4,53.3,12.3,7,7.7,2022-02-20T10:00:00,2022-02-19T23:00:00,1645311600
29,19.6,2022-02-19:22,4,46.7,12.7,7,7.3,2022-02-20T09:00:00,2022-02-19T22:00:00,1645308000
29,19.3,2022-02-19:21,4,40,13,7,7,2022-02-20T08:00:00,2022-02-19T21:00:00,1645304400
31,19.1,2022-02-19:20,4.3,39.7,13.3,7.33,7,2022-02-20T07:00:00,2022-02-19T20:00:00,1645300800
32,18.9,2022-02-19:19,4.7,39.3,13.7,7.67,7,2022-02-20T06:00:00,2022-02-19T19:00:00,1645297200
33,18.7,2022-02-19:18,5,39,14,8,7,2022-02-20T05:00:00,2022-02-19T18:00:00,1645293600
33,18.3,2022-02-19:17,4.7,39.3,14.3,8,6.7,2022-02-20T04:00:00,2022-02-19T17:00:00,1645290000
33,17.9,2022-02-19:16,4.3,39.7,14.7,8,6.3,2022-02-20T03:00:00,2022-02-19T16:00:00,1645286400
33,17.5,2022-02-19:15,4,40,15,8,6,2022-02-20T02:00:00,2022-02-19T15:00:00,1645282800
32,17.1,2022-02-19:14,3.7,40.3,14.7,7.67,5.7,2022-02-20T01:00:00,2022-02-19T14:00:00,1645279200
31,16.7,2022-02-19:13,3.3,40.7,14.3,7.33,5.3,2022-02-20T00:00:00,2022-02-19T13:00:00,1645275600
29,16.3,2022-02-19:12,3,41,14,7,5,2022-02-19T23:00:00,2022-02-19T12:00:00,1645272000
31,16.1,2022-02-19:11,3,41,14,7.33,5,2022-02-19T22:00:00,2022-02-19T11:00:00,1645268400
32,16,2022-02-19:10,3,41,14,7.67,5,2022-02-19T21:00:00,2022-02-19T10:00:00,1645264800
33,15.8,2022-02-19:09,3,41,14,8,5,2022-02-19T20:00:00,2022-02-19T09:00:00,1645261200
35,15.6,2022-02-19:08,2.3,43.3,15,8.33,4.7,2022-02-19T19:00:00,2022-02-19T08:00:00,1645257600
36,15.4,2022-02-19:07,1.7,45.7,16,8.67,4.3,2022-02-19T18:00:00,2022-02-19T07:00:00,1645254000
37,15.2,2022-02-19:06,1,48,17,9,4,2022-02-19T17:00:00,2022-02-19T06:00:00,1645250400
40,15.4,2022-02-19:05,1,48.7,18,9.67,3.7,2022-02-19T16:00:00,2022-02-19T05:00:00,1645246800
